timestamp,object,message
2026-08-07T04:14:43.746Z,vectra-ai/qdrant,           _                 _    
2026-08-07T04:14:43.746Z,vectra-ai/qdrant,  __ _  __| |_ __ __ _ _ __ | |_  
2026-08-07T04:14:43.746Z,vectra-ai/qdrant, / _` |/ _` | '__/ _` | '_ \| __| 
2026-08-07T04:14:43.746Z,vectra-ai/qdrant,| (_| | (_| | | | (_| | | | | |_  
2026-08-07T04:14:43.746Z,vectra-ai/qdrant," \__, |\__,_|_|  \__,_|_| |_|\__| "
2026-08-07T04:14:43.746Z,vectra-ai/qdrant,    |_|                           
2026-08-07T04:14:43.746Z,vectra-ai/qdrant,
2026-08-07T04:14:43.746Z,vectra-ai/qdrant,"Version: 1.18.3, build: db8fa43f"
2026-08-07T04:14:43.746Z,vectra-ai/qdrant,Access web UI at http://localhost:6333/dashboard
2026-08-07T04:14:43.746Z,vectra-ai/qdrant,Agentic Skills: https://skills.qdrant.tech/
2026-08-07T04:14:43.746Z,vectra-ai/qdrant,
2026-08-07T04:14:43.746Z,vectra-ai/qdrant,2026-08-07T04:14:43.746546Z  INFO storage::content_manager::consensus::persistent: Loading raft state from ./storage/raft_state.json
2026-08-07T04:14:43.754Z,vectra-ai/qdrant,2026-08-07T04:14:43.754187Z  INFO storage::content_manager::toc: Loading collection: vectra-kb
2026-08-07T04:14:43.771Z,vectra-ai/qdrant,2026-08-07T04:14:43.771097Z  INFO collection::shards::local_shard: Recovering shard ./storage/collections/vectra-kb/0: 0/1 (0%)
2026-08-07T04:14:43.795Z,vectra-ai/qdrant,2026-08-07T04:14:43.795060Z  INFO collection::shards::local_shard: Recovered collection vectra-kb: 1/1 (100%)
2026-08-07T04:14:43.796Z,vectra-ai/qdrant,2026-08-07T04:14:43.795920Z  INFO qdrant: Distributed mode disabled
2026-08-07T04:14:43.796Z,vectra-ai/qdrant,"2026-08-07T04:14:43.796000Z  INFO qdrant: Telemetry reporting enabled, id: 87dc54fd-c38a-4188-9a97-494406cf325c"
2026-08-07T04:14:43.859Z,vectra-ai/qdrant,"2026-08-07T04:14:43.858983Z  INFO qdrant::actix: REST transport settings: keep_alive=5s, client_request_timeout=5s, client_disconnect_timeout=5s"
2026-08-07T04:14:43.859Z,vectra-ai/qdrant,2026-08-07T04:14:43.859041Z  INFO qdrant::actix: TLS disabled for REST API
2026-08-07T04:14:43.859Z,vectra-ai/qdrant,2026-08-07T04:14:43.859226Z  INFO qdrant::actix: Qdrant HTTP listening on 6333
